s1	rid
S1-44658239	S2-89092464
S1-6047009	S2-42987770
S1-761155621	S2-392640067
S1-86204119	S2-669453080
S1-515132535	S2-406983286
S1-59205618	S2-65812334
S1-48213060	S2-850791104
S1-99930619	S2-541488645
S1-301894316	S2-46685172
S1-490712594	S2-360517325
S1-786762641	S2-655077951
S1-389852494	S2-598917465
S1-992249914	S2-32661481
S1-899201723	S2-320081435
S1-251505782	S2-993596369
S1-794921989	S2-739331981
S1-681751980	S2-843429707
S1-34723533	S2-512825581
S1-852634121	S2-834813793
S1-575358827	S2-534955838
S1-460146464	S2-658885763
S1-650500604	S2-737714898
S1-696955193	S2-508491699
S1-772860639	S2-506630969
S1-428129517	S2-385981968
S1-255731910	S2-141954149
S1-236634475	S2-756554883
S1-945301349	S2-526711860
S1-630521162	S2-195159095
S1-438369096	S2-137598434
S1-192757075	S2-139020075
S1-173257198	S2-668247735
S1-530872271	S2-976524344
S1-648091121	S2-334600908
S1-605341462	S2-891814996
S1-105238420	S2-340146101
S1-165217244	S2-408105065
S1-987375825	S2-320468831
S1-835706190	S2-559752169
S1-563631781	S2-133287463
S1-580294179	S2-919890073
S1-800723014	S2-979161004
S1-311783031	S2-122773520
S1-286734300	S2-537866508
S1-688154752	S2-399744577
S1-755448841	S2-444045502
S1-511278556	S2-963671926
S1-646879954	S2-818898224
S1-942154290	S2-252172624
S1-747068573	S2-531650988
S1-117969166	S2-355607692
S1-982929493	S2-270290905
S1-372676426	S2-231967817
S1-637974831	S2-942568027
S1-651564965	S2-759145471
S1-417177131	S2-361344291
S1-899974765	S2-32245906
S1-854918452	S2-342129654
S1-459369005	S2-490326999
S1-349154342	S2-690146199
S1-185288616	S2-176847986
S1-509362390	S2-85972788
S1-627258136	S2-808418105
S1-313725033	S2-64080519
S1-227049696	S2-839390462
S1-130744899	S2-995174730
S1-311458822	S2-408435621
S1-941527241	S2-463917820
S1-303765519	S2-45331580
S1-310466634	S2-805980788
S1-702780204	S2-460218868
S1-775694766	S2-933267880
S1-231963768	S2-741576104
S1-514632442	S2-602259732
S1-811457616	S2-375682542
S1-451319068	S2-684669522
S1-752592381	S2-20555526
S1-978272989	S2-993422260
S1-60817715	S2-345876794
S1-816119385	S2-487872178
S1-682401878	S2-812584094
S1-183040809	S2-246267812
S1-50906069	S2-208710369
S1-908615319	S2-585856223
S1-109730585	S2-718217103
S1-636532822	S2-157038361
S1-604827213	S2-334326442
S1-696705105	S2-84991630
S1-448165542	S2-468041653
S1-110182787	S2-411941751
S1-255194283	S2-779595736
S1-64578808	S2-705363882
S1-925622277	S2-935460675
S1-110385207	S2-373689031
S1-735563106	S2-13597726
S1-9620559	S2-429089906
S1-280885703	S2-147931898
S1-568915122	S2-542786090
S1-649527345	S2-854546452
S1-952052661	S2-15962613
S1-225151597	S2-213756076
S1-999278723	S2-431702078
S1-805765855	S2-483848214
S1-215428805	S2-953821772
S1-891725616	S2-44153365
S1-599217710	S2-467730333
S1-351546080	S2-492848043
S1-797455695	S2-876443685
S1-976227639	S2-83792061
S1-45539898	S2-502975387
S1-64578808	S2-462132827
S1-117634752	S2-662987066
S1-384597491	S2-72842677
S1-888947920	S2-839165994
S1-684772187	S2-554954748
S1-728198279	S2-125588030
S1-575878771	S2-494406603
S1-222115740	S2-274577105
S1-659868176	S2-525820016
S1-2803875	S2-974353527
S1-301846780	S2-236581424
S1-822263592	S2-600498405
S1-47450902	S2-355364745
S1-250904191	S2-340559939
S1-273067101	S2-455214761
S1-269934292	S2-70087632
S1-484823667	S2-924684126
S1-908145917	S2-655006884
S1-336339315	S2-775072585
S1-165133679	S2-482893908
S1-542392151	S2-924001954
S1-888019431	S2-722925078
S1-491271498	S2-523722284
S1-670638081	S2-583469882
S1-603846581	S2-525479417
S1-274420224	S2-9546077
S1-245626961	S2-227348618
S1-472005152	S2-790666086
S1-247118582	S2-116337773
S1-687450197	S2-846773645
S1-891300261	S2-82724580
S1-35780522	S2-607022227
S1-199675343	S2-91801941
S1-735434670	S2-494021119
S1-468747286	S2-154462517
S1-784492550	S2-196562658
S1-847629446	S2-791177051
S1-582327794	S2-645641789
S1-507823355	S2-208513718
S1-134825852	S2-696631591
S1-940969611	S2-688298507
S1-860711554	S2-847314173
S1-276167766	S2-468517319
S1-944366619	S2-835081899
S1-673305886	S2-188977851
S1-253213305	S2-790905795
S1-430253098	S2-391447049
S1-988264003	S2-411288560
S1-865540514	S2-542717582
S1-685841453	S2-514701195
S1-372737692	S2-218110997
S1-805586283	S2-249622138
S1-289553411	S2-914782508
S1-63140407	S2-990477412
S1-341011881	S2-150131662
S1-813006555	S2-614846077
S1-693991825	S2-233432566
S1-805055673	S2-510354576
S1-832809894	S2-517737342
S1-787971369	S2-640473090
S1-760917690	S2-368030895
S1-102624913	S2-214182763
S1-853859418	S2-588281198
S1-820164384	S2-468966331
S1-575042916	S2-531248583
S1-879325383	S2-275521406
S1-507087441	S2-942893700
S1-566742921	S2-440910884
S1-289789709	S2-806843385
S1-397919963	S2-681074340
S1-385210727	S2-951460325
S1-540674078	S2-10709052
S1-714742968	S2-622250781
S1-162018731	S2-790025542
S1-311088499	S2-691279261
S1-313433137	S2-25783874
S1-128226709	S2-639650617
S1-847587076	S2-684193010
S1-72486842	S2-616324467
S1-258261077	S2-822402877
S1-499366089	S2-662990342
S1-324768313	S2-818572379
S1-672459735	S2-499886940
S1-39522619	S2-145255384
S1-692042360	S2-348884105
S1-749202796	S2-551196011
S1-805339129	S2-778884807
S1-140645885	S2-974086532
S1-663346217	S2-75809343
S1-728544789	S2-227819244
S1-136167647	S2-47090946
S1-695267558	S2-255497411
S1-13995321	S2-1543079
S1-149438022	S2-97832489
S1-677611672	S2-178437621
S1-324328074	S2-856425577
S1-629295374	S2-924654043
S1-276644814	S2-660285678
S1-260772475	S2-726289313
S1-112299011	S2-71090845
S1-924527097	S2-204863695
S1-549476583	S2-479337568
S1-111954601	S2-144437261
S1-419686606	S2-115310090
S1-623958725	S2-427136795
S1-208423392	S2-226027981
S1-356225740	S2-357441855
S1-275507427	S2-228144253
S1-315153182	S2-347194915
S1-617963282	S2-743547877
S1-802341266	S2-481492612
S1-135116892	S2-426162814
S1-13605328	S2-314209735
S1-331003599	S2-759393987
S1-224562748	S2-720424874
S1-292156081	S2-57650942
S1-95329659	S2-150171530
S1-662114172	S2-17253366
S1-700841286	S2-161900501
S1-69773522	S2-327910224
S1-183568543	S2-973098941
S1-285787444	S2-654024183
S1-589290317	S2-428208529
S1-196662760	S2-935060998
S1-127992655	S2-57573153
S1-345397191	S2-862388810
S1-255897213	S2-12308182
S1-117308570	S2-555003821
S1-302183621	S2-348024251
S1-311364670	S2-396226755
S1-9666989	S2-595657676
S1-794136489	S2-945771534
S1-305523857	S2-654607866
S1-612124722	S2-384884591
S1-146463299	S2-264760711
S1-353131618	S2-985809038
S1-320208775	S2-4462532
S1-347248355	S2-182265587
S1-86523829	S2-679649460
S1-398067436	S2-871021605
S1-164057799	S2-796116096
S1-811674061	S2-441384879
S1-346945899	S2-155176611
S1-817072650	S2-303067334
S1-148236818	S2-639937673
S1-113979156	S2-571777752
S1-941662017	S2-631255806
S1-64278540	S2-806222973
S1-427010689	S2-564154190
S1-154791096	S2-621022141
S1-918153480	S2-829410629
S1-978265188	S2-703709786
S1-143382865	S2-39952401
S1-683358823	S2-606195216
S1-848092608	S2-370980468
S1-68374533	S2-683599655
S1-755085698	S2-199057624
S1-789865088	S2-724606514
S1-725627911	S2-209252507
S1-953189414	S2-293023967
S1-965814291	S2-724617632
S1-737676275	S2-532578390
S1-647160922	S2-658742064
S1-445971817	S2-574444696
S1-272937044	S2-718068780
S1-254617151	S2-201643918
S1-341622728	S2-196208945
S1-261321141	S2-161837449
S1-420298538	S2-693700784
S1-333157073	S2-28462814
S1-190809351	S2-114546646
S1-938929377	S2-417631457
S1-341071965	S2-51265360
S1-403647501	S2-587228563
S1-305836346	S2-244730539
S1-584373243	S2-435918732
S1-341671476	S2-274840185
S1-738591311	S2-702087186
S1-779464543	S2-470403876
S1-250628518	S2-187109387
S1-252448053	S2-406533572
S1-695955741	S2-10996417
S1-670039527	S2-873193461
S1-944437512	S2-902025210
S1-375110301	S2-476124588
S1-22229127	S2-114535190
S1-315839231	S2-138862078
S1-697726704	S2-255998875
S1-873497131	S2-915621308
S1-707563619	S2-353603527
S1-684011160	S2-332516967
S1-312593185	S2-386630656
S1-600061538	S2-237816782
S1-655611317	S2-574222669
S1-552113049	S2-756549509
S1-960425020	S2-476962159
S1-300609894	S2-302177789
S1-966030594	S2-624601370
S1-72497660	S2-924421166
S1-266168600	S2-611303255
S1-491926937	S2-700572794
S1-785593109	S2-5152450
S1-449458655	S2-259101080
S1-385103625	S2-459731581
S1-549563902	S2-280056040
S1-130754147	S2-869024219
S1-576499034	S2-250364845
S1-108883437	S2-548447764
S1-618142021	S2-601457437
S1-522474081	S2-122537236
S1-270804015	S2-526766242
S1-773355812	S2-164749452
S1-629482694	S2-361963715
S1-738709662	S2-375923192
S1-124167005	S2-51640639
S1-438989748	S2-633411872
S1-359357907	S2-621236702
S1-507868749	S2-502836651
S1-195162035	S2-839353707
S1-718403216	S2-221640975
S1-467796476	S2-276005983
S1-843958241	S2-559507064
S1-868600182	S2-783680592
S1-411220070	S2-119252194
S1-47859793	S2-893277040
S1-338840619	S2-711927056
S1-709355029	S2-271165638
S1-4975431	S2-721672483
S1-404066317	S2-674127937
S1-731655031	S2-686476196
S1-938334935	S2-515473449
S1-847125684	S2-104978391
S1-602185963	S2-259612078
S1-208759026	S2-557483359
S1-525006433	S2-29229019
S1-842224608	S2-568790248
S1-752219142	S2-516351941
S1-5058047	S2-706198900
S1-174292771	S2-659758069
S1-499992585	S2-194104245
S1-155189005	S2-655587355
S1-982979160	S2-128851151
S1-63507314	S2-702516965
S1-364072434	S2-694435185
S1-177144224	S2-701112664
S1-93174937	S2-254235984
S1-484106750	S2-862025241
S1-177640265	S2-814944990
S1-75274423	S2-602072943
S1-9653344	S2-589248166
S1-672881335	S2-928779091
S1-580020243	S2-124525089
S1-784173559	S2-263761810
S1-748901885	S2-410939909
S1-559054648	S2-438185829
S1-624795686	S2-911833704
S1-701153005	S2-692910335
S1-909787864	S2-537376478
S1-50077824	S2-117415310
S1-835163159	S2-477827710
S1-999402621	S2-866523235
S1-417635715	S2-406010798
S1-26062177	S2-858600733
S1-889198502	S2-94105717
S1-866252927	S2-961608738
S1-31413311	S2-754399721
S1-408773447	S2-446981866
S1-937803810	S2-315554146
S1-80112932	S2-390238124
S1-686320485	S2-324632596
S1-411514676	S2-695738208
S1-322695693	S2-604133863
S1-773111548	S2-887495525
S1-640612589	S2-163293776
S1-561474258	S2-575182001
S1-330787137	S2-470872469
S1-208792683	S2-285859232
S1-5606457	S2-366281222
S1-251893687	S2-764523313
S1-930688089	S2-329187999
S1-460036974	S2-845770521
S1-945185491	S2-285889423
S1-569959415	S2-894626366
S1-18058889	S2-971308343
S1-678532126	S2-758655124
S1-413874267	S2-368563123
S1-453137081	S2-218800078
S1-650416018	S2-97847351
S1-945991570	S2-866289791
S1-776860745	S2-648102608
S1-204342193	S2-93768643
S1-153933155	S2-600350724
S1-581975316	S2-708107144
S1-313990257	S2-141903527
S1-460474941	S2-782627277
S1-554727108	S2-615991229
S1-698794026	S2-825888251
S1-828572540	S2-780644366
S1-202131939	S2-949528575
S1-566992620	S2-681771068
S1-331794155	S2-405844675
S1-57080236	S2-312789674
S1-244524392	S2-156472313
S1-329345600	S2-720363845
S1-317303484	S2-546574971
S1-659687690	S2-893412318
S1-793414593	S2-340507800
S1-920621130	S2-687295060
S1-789408528	S2-970666838
S1-853149764	S2-60113335
S1-205589899	S2-529137921
S1-900206896	S2-938125144
S1-64056073	S2-848614821
S1-50526938	S2-522428782
S1-47871527	S2-654066108
S1-607919991	S2-281989639
S1-351433940	S2-862797468
S1-800021399	S2-825135752
S1-865146928	S2-274691824
S1-554947301	S2-937269827
S1-301779621	S2-662588546
S1-371567334	S2-502973969
S1-170237242	S2-774023443
S1-960126068	S2-433145651
S1-333346812	S2-577209597
S1-847965636	S2-854547403
S1-374491996	S2-12746793
S1-256627282	S2-810095850
S1-761395998	S2-628703655
S1-480443625	S2-127882643
S1-760127819	S2-238682199
S1-68551988	S2-592492588
S1-43006943	S2-628016141
S1-362273472	S2-273149550
S1-749119592	S2-582352914
S1-740119573	S2-381343040
S1-362431711	S2-705078531
S1-232979925	S2-683176704
S1-475233560	S2-793113337
S1-603661150	S2-616237903
S1-684667377	S2-315993858
S1-465609618	S2-343382718
S1-700893114	S2-596353451
S1-703141667	S2-613064460
S1-349565924	S2-10910826
S1-335343356	S2-73738065
S1-374340535	S2-713170821
S1-507306902	S2-401720227
S1-784173559	S2-607214123
S1-346030881	S2-273417836
S1-636314670	S2-567818641
S1-256031204	S2-14166234
S1-856896940	S2-364231883
S1-578097749	S2-392757721
S1-187200941	S2-23624966
S1-273327263	S2-204382400
S1-736337677	S2-67257347
S1-222178533	S2-590519219
S1-583761804	S2-153806312
S1-741476537	S2-284006984
S1-459142175	S2-233584206
S1-581423452	S2-595416313
S1-626825071	S2-782713474
S1-821929574	S2-8902565
S1-894426730	S2-130287712
S1-291265507	S2-100273215
S1-399483295	S2-190068132
S1-988206075	S2-552440453
S1-915082704	S2-178812543
S1-583278531	S2-295507469
S1-314665092	S2-692340616
S1-930582471	S2-139192822
S1-656907711	S2-995078940
S1-75380150	S2-287591442
S1-621783194	S2-560934582
S1-185605698	S2-782318474
S1-469018759	S2-103008725
S1-427455425	S2-984580686
S1-836840649	S2-602218122
S1-686045986	S2-690164373
S1-911525913	S2-333157418
S1-254721587	S2-377426974
S1-849746609	S2-625458164
S1-423016805	S2-214747279
S1-203346941	S2-891149571
S1-910958348	S2-214337888
S1-767187386	S2-689562676
S1-851500890	S2-845751866
S1-900173331	S2-280059154
S1-135248065	S2-569170628
S1-496982183	S2-376094072
S1-2982227	S2-317736419
S1-654754011	S2-876345932
S1-116998614	S2-891289068
S1-832451852	S2-395490945
S1-794959580	S2-112014363
S1-926142483	S2-178921423
S1-838632662	S2-135807527
S1-248139293	S2-642831196
S1-500111394	S2-314560428
S1-816660062	S2-115319551
S1-770307975	S2-811501248
S1-731704064	S2-559014217
S1-154246388	S2-270041387
S1-829699833	S2-519432863
S1-588089791	S2-1197566
S1-540944372	S2-564160193
S1-470237879	S2-366841396
S1-225716018	S2-508968531
S1-519116316	S2-552208723
S1-611064033	S2-821571602
S1-251953856	S2-596798538
S1-657293281	S2-115258946
S1-350483664	S2-302082866
S1-935067720	S2-396567793
S1-809445286	S2-166018936
S1-670353392	S2-882136729
S1-742658847	S2-353175769
S1-873416607	S2-7946769
S1-698016633	S2-137714064
S1-469817956	S2-746262377
S1-537887413	S2-366366070
S1-991164549	S2-143326845
S1-466861062	S2-48669963
S1-412155407	S2-313667141
S1-121688300	S2-256288646
S1-993101240	S2-806587991
S1-842871771	S2-799224537
S1-638019149	S2-273730055
S1-186581446	S2-555963610
S1-453601708	S2-850173503
S1-792200360	S2-572008602
S1-557641781	S2-403323839
S1-302357653	S2-907781806
S1-48907507	S2-393199941
S1-113812189	S2-793450600
S1-816776723	S2-149839368
S1-393034911	S2-792840524
S1-939873447	S2-491662181
S1-594787721	S2-943271554
S1-896834964	S2-326306963
S1-232616864	S2-762146080
S1-528023805	S2-785823002
S1-332315368	S2-318753318
S1-806151004	S2-28648907
S1-345963518	S2-713695653
S1-109316842	S2-998732039
S1-766747193	S2-805378081
S1-878862470	S2-560523930
S1-235425628	S2-430536433
S1-2321953	S2-680280546
S1-351536112	S2-9933850
S1-464048092	S2-645096108
S1-852779539	S2-451409677
S1-812523519	S2-93458874
S1-349365344	S2-7853144
S1-279163666	S2-448701386
S1-390118844	S2-731330993
S1-640702963	S2-753909759
S1-512941178	S2-567345956
S1-513927796	S2-387593274
S1-596111693	S2-260742329
S1-757893373	S2-529296762
S1-417502439	S2-315897540
S1-747827987	S2-817083774
S1-227963898	S2-126424043
S1-985115151	S2-203933828
S1-246627522	S2-204676412
S1-820715960	S2-182100266
S1-130916544	S2-975942956
S1-574394435	S2-746462868
S1-70775239	S2-421408200
S1-731154682	S2-294313535
S1-442329853	S2-642839489
S1-640010596	S2-228126925
S1-396028091	S2-577531710
S1-500849948	S2-794754590
S1-135194075	S2-331897303
S1-304099543	S2-510277165
S1-385980738	S2-418343982
S1-569921521	S2-579292551
S1-347381413	S2-348006176
S1-965117995	S2-472514528
S1-804765261	S2-277651320
S1-43602410	S2-710858067
S1-384109142	S2-37873344
S1-985115950	S2-487973596
S1-628220888	S2-162040889
S1-715958330	S2-199718137
S1-556031166	S2-594603387
S1-550334384	S2-256742639
S1-497942412	S2-138056857
S1-252477932	S2-392744028
S1-408852737	S2-146895153
S1-523844632	S2-519173453
S1-94408651	S2-989495199
S1-488991647	S2-430715653
S1-934999970	S2-54336980
S1-5962769	S2-346940016
S1-778532761	S2-934046353
S1-155503279	S2-822549324
S1-559427492	S2-115085628
S1-505335047	S2-901229773
S1-974239686	S2-494505885
S1-841889722	S2-168012390
S1-749730338	S2-519536034
S1-207381386	S2-694947384
S1-824215741	S2-759095772
S1-257474633	S2-607641395
S1-151067224	S2-723513670
S1-480877755	S2-63917065
S1-35831332	S2-620040847
S1-80719090	S2-237784428
S1-719623274	S2-589821830
S1-371731432	S2-900192998
S1-499053428	S2-180128761
S1-675060175	S2-254885772
S1-892339542	S2-436038232
S1-392914369	S2-685205381
S1-468068135	S2-246934814
S1-470563987	S2-188903868
S1-883583211	S2-500087348
S1-169905778	S2-247638533
S1-545556176	S2-962581580
S1-658666919	S2-940606641
S1-451464841	S2-813199294
S1-409529966	S2-640295362
S1-977254389	S2-830840470
S1-701016057	S2-472075662
S1-568588454	S2-497722897
S1-443375475	S2-160316133
S1-234310683	S2-81176331
S1-685960471	S2-164472614
S1-304277436	S2-941059764
S1-302737000	S2-559290295
S1-523096310	S2-765237598
S1-55616210	S2-122639684
S1-997714586	S2-636129303
S1-528579785	S2-578659255
S1-496821850	S2-579653118
S1-73111020	S2-671184054
S1-665879677	S2-992491948
S1-857513394	S2-757649450
S1-214156993	S2-699248610
S1-885082732	S2-210076268
S1-363525474	S2-937007981
S1-305992280	S2-65368787
S1-906172871	S2-917721156
S1-896547997	S2-257715068
S1-762211720	S2-301037704
S1-28561075	S2-354644174
S1-140848720	S2-33891581
S1-727152947	S2-641093453
S1-788800768	S2-763941237
S1-309576032	S2-163109153
S1-579949465	S2-38543523
S1-969918839	S2-97075325
S1-19354588	S2-796888343
S1-311971211	S2-617974000
S1-947859928	S2-635808759
S1-706219445	S2-226278464
S1-944333290	S2-643791218
S1-184819416	S2-85514775
S1-758508995	S2-419112320
S1-344611548	S2-932422113
S1-32907282	S2-438624754
S1-506351855	S2-717562679
S1-107396579	S2-518299960
S1-981904329	S2-893104213
S1-542334426	S2-674157762
S1-237470393	S2-556783940
S1-396473563	S2-771144910
S1-581990405	S2-522127271
S1-155222149	S2-190429674
S1-646473126	S2-636072790
S1-540353759	S2-819350694
S1-701179951	S2-884642224
S1-731905584	S2-314922655
S1-730208999	S2-316944629
S1-939128470	S2-96457263
S1-505286732	S2-712830461
S1-117941560	S2-952970794
S1-28962289	S2-779772792
S1-764766819	S2-818271622
S1-315844201	S2-819129578
S1-691900861	S2-860321386
S1-953478291	S2-355231063
S1-181962445	S2-207306777
S1-885826069	S2-769455184
S1-409262044	S2-715713346
S1-618374869	S2-893457248
S1-465516440	S2-211838659
S1-905225580	S2-584964364
S1-450804849	S2-186882874
S1-347736234	S2-521767824
S1-99447745	S2-711329658
S1-962731487	S2-44764607
S1-954320537	S2-364691599
S1-403470194	S2-621360505
S1-468090910	S2-456418319
S1-784984860	S2-701303209
S1-653823420	S2-132645097
S1-43694914	S2-967236222
S1-381985362	S2-896603512
S1-493509776	S2-687410931
S1-676664146	S2-108686395
S1-47873209	S2-139010974
S1-438986050	S2-31067109
S1-427124606	S2-377558221
S1-30787628	S2-479083284
S1-276237995	S2-415681233
S1-724046065	S2-844196108
S1-850710190	S2-519123701
S1-57249951	S2-501359056
S1-112861015	S2-817159825
S1-50909807	S2-611825498
S1-237938023	S2-938453578
S1-147126321	S2-56718383
S1-135366664	S2-231773691
S1-768974937	S2-992318040
S1-314081670	S2-151761563
S1-491922781	S2-353581791
S1-630786028	S2-17110762
S1-81236112	S2-991096722
S1-398753192	S2-974639499
S1-211747203	S2-550864525
S1-861776280	S2-130160710
S1-371160791	S2-100138172
S1-786505852	S2-210938295
S1-239792896	S2-617336447
S1-948778329	S2-774810627
S1-997182984	S2-766115065
S1-10872442	S2-281058036
S1-331148992	S2-308144862
S1-535683323	S2-550868870
S1-154969418	S2-52521712
S1-830808845	S2-74900507
S1-104563377	S2-68895769
S1-404045324	S2-991076754
S1-677612813	S2-142098339
S1-31842768	S2-995399735
S1-44525771	S2-601985428
S1-633733589	S2-250726987
S1-891281569	S2-794710070
S1-687707833	S2-204511690
S1-749827096	S2-302982605
S1-340775264	S2-652935997
S1-466775092	S2-703761577
S1-120968441	S2-817705538
S1-967246081	S2-606529737
S1-614854913	S2-950230073
S1-941511046	S2-772014881
S1-738015245	S2-310317698
S1-363188150	S2-242637236
S1-554239150	S2-715223707
S1-262353263	S2-746233843
S1-458949353	S2-729721568
S1-858704933	S2-221903993
S1-5085249	S2-124626862
S1-772552084	S2-223474685
S1-54709362	S2-742507369
S1-678764458	S2-229119744
S1-310687637	S2-756659827
S1-54596761	S2-173822995
S1-344154798	S2-829978986
S1-283999501	S2-239036752
S1-411511882	S2-135174187
S1-991311886	S2-334445837
S1-148716490	S2-358766112
S1-601075754	S2-85997588
S1-490661309	S2-814371343
S1-588317635	S2-400467467
S1-303325797	S2-881947882
S1-507821673	S2-911020820
S1-155322025	S2-253538398
S1-815291971	S2-854422775
S1-182655746	S2-740424965
S1-620354399	S2-655422022
S1-18061160	S2-810060778
S1-179526642	S2-677900640
S1-639096068	S2-435057007
S1-708276287	S2-799953023
S1-92081852	S2-673770547
S1-175447628	S2-777325928
S1-879480416	S2-982600515
S1-896219975	S2-69593283
S1-803216305	S2-651984987
S1-428931349	S2-140942318
S1-279783570	S2-926615453
S1-935747514	S2-686362817
S1-431050512	S2-513710915
S1-566674597	S2-722663870
S1-150664045	S2-200737268
S1-325089081	S2-752424508
S1-634398814	S2-834123993
S1-979558243	S2-849400293
S1-737877852	S2-966231914
S1-595315160	S2-336556182
S1-459688820	S2-70082348
S1-683188573	S2-502262728
S1-128727273	S2-952883322
S1-113304833	S2-592492034
S1-559712872	S2-900330970
S1-492297572	S2-232498848
S1-353373396	S2-184353292
S1-301846780	S2-216907030
S1-39206524	S2-915422483
S1-686933593	S2-215162760
S1-8228041	S2-871013550
S1-1365775	S2-967554729
S1-52552695	S2-39147324
S1-160131243	S2-954541439
S1-173112435	S2-147246113
S1-714679986	S2-621558122
S1-418847929	S2-890177740
S1-700387268	S2-154296579
S1-149187732	S2-169081115
S1-489469378	S2-349214144
S1-868338922	S2-540849817
S1-327432308	S2-164805683
S1-496286176	S2-208073776
S1-968808684	S2-578700215
S1-540651643	S2-506842115
S1-571524113	S2-664355824
S1-978193806	S2-394300201
S1-911751938	S2-579287995
S1-927034391	S2-130684493
S1-481435972	S2-927906856
S1-360032172	S2-493366584
S1-939896397	S2-52766372
S1-894707023	S2-277974152
S1-286524360	S2-491334683
S1-338270038	S2-20955409
S1-92802452	S2-42269304
S1-450979571	S2-833451882
S1-796972836	S2-379629943
S1-744801323	S2-361892908
S1-260489896	S2-750111888
S1-872071852	S2-176192534
S1-764693153	S2-661953972
S1-695977028	S2-145635477
S1-340717558	S2-399843118
S1-609687144	S2-305945933
S1-576819320	S2-133381577
S1-227546275	S2-150169379
S1-439355736	S2-456388405
S1-538341575	S2-39867593
S1-295014117	S2-274397483
S1-961650300	S2-384677569
S1-821202898	S2-553780996
S1-159643717	S2-454568329
S1-194062807	S2-894161965
S1-95649899	S2-754256795
S1-415868294	S2-110220993
S1-17256079	S2-256839550
S1-2514175	S2-983361923
S1-167446899	S2-757423663
S1-253090097	S2-561248160
S1-461582098	S2-27824325
S1-844824166	S2-713046983
S1-972719689	S2-888445933
S1-3188510	S2-903702166
S1-658292634	S2-287120517
S1-654648792	S2-634882554
S1-304304077	S2-85850814
S1-408964875	S2-101316415
S1-253775277	S2-559218642
S1-179141057	S2-641952546
S1-888006689	S2-344913279
S1-669169761	S2-691808151
S1-232279648	S2-509687832
S1-969093313	S2-487887463
S1-351617739	S2-521933745
S1-88044513	S2-985241338
S1-969941040	S2-901893818
S1-912861063	S2-756654397
S1-662895585	S2-528744329
S1-911279969	S2-9535459
S1-123879556	S2-878595677
S1-364922097	S2-486209919
S1-169211211	S2-732743184
S1-202618110	S2-460617602
S1-873553431	S2-440212586
S1-976558891	S2-981329854
S1-475651314	S2-10996946
S1-382987905	S2-461955694
S1-398699215	S2-434512566
S1-2331245	S2-477163960
S1-263151922	S2-717281060
S1-59221240	S2-296586862
S1-460766811	S2-240732320
S1-359930976	S2-144718055
S1-816776723	S2-403781041
S1-631579158	S2-15519055
S1-932329270	S2-858545006
S1-780459956	S2-554513268
S1-578405106	S2-367822823
S1-365501820	S2-340712025
S1-787324480	S2-357968548
S1-51446641	S2-514323645
S1-513838109	S2-609546788
S1-3045425	S2-4779253
S1-614844595	S2-99192942
S1-473491749	S2-353068674
S1-19716131	S2-836428399
S1-403520521	S2-40462739
S1-554786631	S2-903349425
S1-671390904	S2-520117517
S1-280618491	S2-902925192
S1-320707537	S2-80411126
S1-988986299	S2-289582463
S1-305890315	S2-730080024
S1-279312134	S2-704450643
S1-30251721	S2-710333509
S1-301246884	S2-240741945
S1-658075945	S2-406582364
S1-934040396	S2-836721950
S1-926734418	S2-776545668
S1-339243647	S2-455367780
S1-320624315	S2-271062347
S1-822562095	S2-669440724
S1-374120520	S2-844315289
S1-216824329	S2-516971039
S1-982073498	S2-43537794
S1-311445959	S2-960920538
S1-143509721	S2-965335558
S1-763817170	S2-135550134
S1-268442357	S2-385875188
S1-811296624	S2-601825164
S1-921872870	S2-880218518
S1-417647082	S2-953820674
S1-285634965	S2-431209232
S1-662933298	S2-139378810
S1-807953110	S2-551777538
S1-959132958	S2-255609338
S1-455296979	S2-757924169
S1-897414859	S2-460618968
S1-165514649	S2-736507675
S1-811493864	S2-294497119
S1-340882639	S2-382048162
S1-148856770	S2-405499190
S1-747698164	S2-670255021
S1-176747305	S2-207529262
S1-715738807	S2-221423440
S1-683123613	S2-299970979
S1-128492451	S2-532627618
S1-486914502	S2-267064383
S1-276356758	S2-743784290
S1-68307208	S2-980356358
S1-622215976	S2-742701605
S1-88545522	S2-33920206
S1-70554346	S2-158780462
S1-381477151	S2-600430376
S1-473683187	S2-333614933
S1-819444311	S2-685938484
S1-268919048	S2-890991199
S1-125739254	S2-317145905
S1-121226914	S2-446605511
S1-42507694	S2-483903639
S1-974104654	S2-997386347
S1-642014758	S2-909826656
S1-303510277	S2-79615558
S1-759122989	S2-360895981
S1-64449037	S2-867639353
S1-713828415	S2-512118958
S1-232139290	S2-68700478
S1-322733492	S2-119616683
S1-367007848	S2-74409173
S1-832260665	S2-202788570
S1-259987689	S2-112678246
S1-571699281	S2-501117414
S1-666355832	S2-224110518
S1-969734352	S2-196242602
S1-413281154	S2-463527045
S1-597665384	S2-557690576
S1-546826937	S2-879839721
S1-143328127	S2-862623477
S1-341389280	S2-373947749
S1-11206332	S2-548683510
S1-39206471	S2-518024269
S1-399254052	S2-249884984
S1-223767990	S2-526451473
S1-407685173	S2-652663319
S1-325113029	S2-66283406
S1-899650778	S2-255947292
S1-217250798	S2-463655155
S1-7020531	S2-543085114
S1-853900317	S2-201833746
S1-492859612	S2-218719436
